COLETA,DATA,PONTO,DBO (mg/L),COP (mg/L),COD (mg/L),N-NH4 (mg/L),N-Org (mg/L),N-NO2 (mg/L),N-NO3 (mg/L),NT (mg/L),PT (mg/L),P-PO4 (mg/L),OD (mg/L),Cafeína,Estradiol,Etinilestradiol,Estrona
20,19/07/2006,IG5,8.7,,32.37,9.27,0.93,0.04,,,0.80,,2.3,,,,
21,13/03/2008,IG5,3.1,,18.20,2.02,1.18,0.15,0.30,3.64,0.32,,6.5,,,,
22,16/04/2008,IG5,9.1,,10.81,3.95,1.15,0.09,,,0.34,,1.3,,,,
23,07/05/2008,IG5,3.1,,3.28,3.86,1.01,0.09,0.40,5.36,0.15,,2.4,,,,
24,04/06/2008,IG5,17.4,,8.82,6.61,2.91,0.11,0.68,10.30,0.46,,1.4,,,,
25,20/08/2008,IG5,6.0,,5.43,6.83,2.69,0.05,,,0.34,,1.5,,,,
26,01/07/2009,IG5,37.7,,8.92,6.31,3.44,0.04,0.02,9.81,1.58,0.41,,,,,
27,22/09/2009,IG5,6.2,,11.59,4.46,2.66,0.09,0.22,7.44,0.31,0.15,2.1,,,,
28,01/12/2009,IG5,2.4,,8.22,0.91,0.18,0.06,0.42,1.57,0.21,0.07,2.7,,,,
29,27/01/2010,IG5,2.4,,8.13,1.27,1.15,0.06,0.48,2.92,0.11,0.04,2.0,,,,
30,17/03/2010,IG5,5.6,,5.05,2.89,0.21,0.07,0.33,3.51,0.33,0.07,2.1,,,,
31,22/04/2010,IG5,5.6,,5.42,6.05,0.67,0.04,0.22,6.98,0.81,0.33,0.9,,,,
32,09/06/2010,IG5,3.6,,3.05,1.51,1.23,0.09,0.45,3.28,0.40,0.12,3.1,,,,
33,19/08/2010,IG5,9.0,,4.03,5.22,2.05,0.05,0.13,7.44,0.80,0.21,1.2,,,,
34,20/10/2010,IG5,5.0,,5.08,3.92,4.93,0.07,0.48,9.41,0.69,0.25,1.6,,,,
35,24/11/2010,IG5,6.9,,5.84,3.67,3.38,0.08,0.38,7.50,0.68,0.11,1.0,,,,
36,23/03/2011,IG5,,,5.77,1.99,2.02,0.07,0.28,4.36,0.33,0.12,2.5,,,,
37,24/08/2011,IG5,3.0,,3.81,2.02,1.19,0.07,0.70,4.00,1.30,0.11,4.7,,,,
38,26/10/2011,IG5,,,,5.14,0.56,0.00,0.07,5.78,0.51,0.13,1.5,,,,
39,28/08/2012,IG5,14.0,14.86,5.84,7.59,2.15,0.03,0.07,9.84,0.88,0.52,,,,,
40,02/10/2012,IG5,36.0,27.30,6.74,6.22,2.61,0.00,0.07,8.91,1.42,0.64,0.4,,,,
41,24/10/2012,IG5,18.0,19.47,4.16,0.41,6.60,0.15,1.71,8.88,0.48,0.01,0.2,,,,
42,21/11/2012,IG5,13.0,,5.11,2.00,9.70,0.02,0.08,11.80,0.66,0.58,2.8,,,,
43,12/12/2012,IG5,22.0,,5.28,1.18,8.60,0.00,0.08,9.85,0.99,0.20,1.4,,,,
44,01/05/2013,IG5,16.0,2.46,6.99,8.48,0.09,0.01,0.07,8.65,0.52,0.25,0.5,,,,
45,17/07/2013,IG5,6.0,2.97,4.29,5.95,,0.10,0.49,11.92,0.68,0.34,2.9,,,,
46,10/09/2013,IG5,14.0,1.24,6.31,9.30,7.90,0.04,0.24,17.45,1.20,0.39,2.0,,,,
47,21/10/2013,IG5,22.0,0.19,7.18,21.31,5.84,0.03,1.10,28.29,1.94,0.53,1.7,,,,
48,05/12/2013,IG5,16.0,3.18,2.55,3.71,5.63,0.05,0.58,9.98,0.74,0.21,1.7,,,,
49,31/03/2014,IG5,70.0,8.76,4.77,0.79,25.98,0.02,0.25,26.24,2.84,0.76,2.7,5.056,1.241,2.501,ND
50,22/07/2014,IG5,68.0,11.52,5.24,11.50,12.80,1.16,0.91,14.87,1.22,1.15,0.4,2.933,0.000,0.000,0.000
51,13/10/2014,IG5,16.0,,,3.55,0.18,1.12,1.15,5.99,1.25,1.17,0.2,3.435,ND,ND,ND
52,02/03/2015,IG5,5.0,,7.56,1.21,5.28,0.28,0.32,7.09,0.52,0.08,2.2,1.567,ND,ND,ND
53,01/06/2015,IG5,6.4,,7.22,2.37,2.64,0.19,12.50,17.70,0.53,0.08,5.4,1.64,0.16,0.63,ND
54,30/11/2015,IG5,4.0,,,1.49,,0.07,0.84,,0.67,0.31,0.3,0.369,ND,ND,ND
55,14/03/2016,IG5,5.0,,4.18,1.04,2.91,0.01,0.32,4.28,0.36,0.07,0.6,0.159,ND,ND,ND
56,06/06/2016,IG5,8.3,,6.60,3.22,0.00,0.10,0.14,3.28,0.41,0.11,2.3,0.2757375,<LD,<LQ,<LD
57,21/11/2016,IG5,16.8,,9.65,6.80,-1.33,0.05,0.48,6.01,0.59,0.27,1.7,3.6447725,<LD,0.867576317,0.053999638
58,03/04/2017,IG5,,,8.61,11.50,-4.43,0.11,1.03,8.21,1.07,0.31,1.6,0.554354,0.855145132,0.05661979,<LD
